Country Name,lnh,l_m,g,m,b
Australia,-11.937,20,10.73%,90.456,9.321
Austria,-11.844,3,10.80%,89.048,9.258
Belgium,-11.471,11,10.36%,88.838,9.653
Belarus,-10.185,20,9.38%,83.321,10.656
Canada,-11.699,17,10.50%,89.928,9.52
Croatia,-11.693,1,11.07%,85.745,9.033
Switzerland,-12.512,15,11.46%,90.308,8.73
Czechia,-11.844,16,11.17%,86.426,8.954
Germany,-11.931,15,10.99%,88.496,9.102
Denmark,-11.53,1,10.60%,87.57,9.431
Spain,-12.412,20,11.25%,90.889,8.887
Estonia,-10.929,9,9.89%,87.127,10.113
Finland,-11.764,8,10.67%,89.269,9.371
France,-11.534,20,10.11%,91.414,9.891
Greece,-12.38,20,11.46%,89.146,8.728
Hungary,-10.718,1,9.95%,84.492,10.045
Ireland,-11.702,10,10.68%,88.65,9.366
Italy,-12.374,14,11.31%,90.143,8.843
Japan,-11.714,20,10.18%,92.6,9.82
Korea,-12.206,20,11.09%,90.232,9.017
Lithuania,-10.358,20,9.34%,85.538,10.71
Luxembourg,-11.793,1,10.76%,88.884,9.294
Latvia,-10.557,20,9.67%,85.034,10.344
Netherlands,-11.695,15,10.67%,88.611,9.369
Norway,-11.852,2,10.81%,89.06,9.251
New Zealand,-11.681,20,10.62%,88.839,9.412
Poland,-11.231,11,10.33%,86.725,9.677
Portugal,-11.977,20,10.93%,89.361,9.153
Russia,-9.788,20,8.89%,82.882,11.249
Slovakia,-11.359,3,10.68%,85.43,9.365
Slovenia,-11.635,1,10.64%,88.32,9.402
Sweden,-12.211,8,11.24%,89.169,8.894
Taiwan,-11.513,20,10.43%,88.698,9.586
Ukraine,-10.211,20,9.49%,82.743,10.532
United Kingdom,-11.574,20,10.49%,88.833,9.532
The United States of America,-10.685,20,9.45%,88.095,10.581
