Gender,Country Name,lnh,l_m,g,m,b
Total,Australia,-11.082,0,9.97%,88.037,10.031
Total,Austria,-11.134,0,10.24%,86.504,9.769
Total,Belarus,-8.511,0,7.67%,77.519,13.045
Total,Belgium,-10.816,0,9.86%,86.182,10.14
Total,Canada,-10.967,0,9.86%,87.71,10.139
Total,Croatia,-10.729,0,10.19%,82.872,9.813
Total,Czechia,-10.722,0,10.10%,83.47,9.902
Total,Denmark,-10.961,0,10.15%,85.465,9.855
Total,Estonia,-9.649,0,8.69%,82.952,11.512
Total,Finland,-10.698,0,9.70%,86.218,10.307
Total,France,-10.414,0,9.11%,88.033,10.979
Total,Germany,-11.029,0,10.17%,85.969,9.833
Total,Greece,-10.938,0,9.99%,86.432,10.01
Total,Hungary,-9.912,0,9.28%,81.226,10.781
Total,Ireland,-11.054,0,10.13%,86.505,9.87
Total,Israel,-11.374,0,10.43%,87.384,9.589
Total,Italy,-11.51,0,10.56%,87.701,9.469
Total,Japan,-10.865,0,9.59%,88.884,10.432
Total,Korea,-10.83,0,9.81%,86.733,10.194
Total,Latvia,-9.19,0,8.32%,80.532,12.013
Total,Lithuania,-8.851,0,7.83%,80.532,12.775
Total,Luxembourg,-11.364,0,10.55%,86.369,9.475
Total,Netherlands,-11.325,0,10.48%,86.57,9.546
Total,New Zealand,-11.056,0,10.08%,86.9,9.918
Total,Norway,-11.332,0,10.45%,86.839,9.571
Total,Poland,-9.82,0,8.92%,83.004,11.212
Total,Portugal,-10.581,0,9.55%,86.215,10.473
Total,Russia,-8.376,0,7.46%,77.458,13.399
Total,Slovakia,-10.233,0,9.61%,82.099,10.405
Total,Slovenia,-10.835,0,9.98%,85.461,10.019
Total,Spain,-11.156,0,10.10%,87.793,9.906
Total,Sweden,-11.635,0,10.81%,87.067,9.252
Total,Switzerland,-11.525,0,10.52%,88.113,9.502
Total,Taiwan,-9.977,0,8.84%,85.399,11.31
Total,U.K.,-10.817,0,9.79%,86.716,10.21
Total,U.S.A.,-10.036,0,8.89%,85.643,11.245
Total,Ukraine,-8.847,0,8.12%,78.05,12.319
